EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	12:29:11	0	0.0004	0.60616707983612
2	12:45:31	1	0.0004	0.825604575588585
3	13:01:39	2	0.0004	0.6441377242089301
4	13:17:07	0	0.0004	0.6041452405086861
5	13:32:36	0	0.0004	0.5718710618116765
6	13:48:22	0	0.0004	0.5200096082462476
7	14:04:29	0	0.0004	0.4766343839448297
8	14:20:22	0	0.0004	0.4264063324062615
9	14:36:06	1	0.0004	0.4805335702929167
10	14:52:20	2	0.0004	0.465236052552839
11	15:08:28	3	0.0004	0.45354123069174934
12	15:24:07	0	0.0004	0.4235076946265926
13	15:40:36	1	0.0004	0.4293309115986361
14	15:56:53	0	0.0004	0.40198152339522414
15	16:12:33	1	0.0004	0.42895671123027945